match,teamInnings,battingPos,batsmanName,dismissal,runs,balls,4s,6s,SR,Year
Bangladesh Vs India,India,1,Yashasvi Jaiswal,c Mrittunjoy Chowdhury b Mondol,0,4,0,0,0.00,2023
Bangladesh Vs India,India,2,Ruturaj Gaikwad(c),,40,26,4,3,153.84,2023
Bangladesh Vs India,India,3,Tilak Varma,,55,26,2,6,211.53,2023
India Vs Nepal,India,1,Yashasvi Jaiswal,c Bohara b Airee,100,49,8,7,204.08,2023
India Vs Nepal,India,2,Ruturaj Gaikwad(c),c Paudel b Airee,25,23,4,0,108.69,2023
India Vs Nepal,India,3,Tilak Varma, b Sompal Kami,2,10,0,0,20.00,2023
India Vs Nepal,India,4,Jitesh Sharmaâ€ ,c & b Lamichhane,5,4,1,0,125.00,2023
India Vs Nepal,India,5,Shivam Dube,,25,19,2,1,131.57,2023
India Vs Nepal,India,6,Rinku Singh,,37,15,2,4,246.66,2023
India Vs Nepal,Nepal,1,Kushal Bhurtel,c Avesh Khan b Sai Kishore,28,32,4,1,87.50,2023
India Vs Nepal,Nepal,2,Aasif Sheikhâ€ ,c â€ Sharma b Avesh Khan,10,6,1,1,166.66,2023
India Vs Nepal,Nepal,3,Kushal Malla,c Singh b Ravi Bishnoi,29,22,2,2,131.81,2023
India Vs Nepal,Nepal,4,Rohit Paudel(c),lbw b Ravi Bishnoi,3,5,0,0,60.00,2023
India Vs Nepal,Nepal,5,Dipendra Singh Airee,c Sai Kishore b Ravi Bishnoi,32,15,0,4,213.33,2023
India Vs Nepal,Nepal,6,Sundeep Jora,c Jaiswal b Arshdeep Singh,29,12,1,3,241.66,2023
India Vs Nepal,Nepal,7,Sompal Kami,c Sai Kishore b Avesh Khan,7,5,0,1,140.00,2023
India Vs Nepal,Nepal,8,Gulsan Jha,c Jaiswal b Arshdeep Singh,6,6,1,0,100.00,2023
India Vs Nepal,Nepal,9,Karan KC,,18,13,1,2,138.46,2023
India Vs Nepal,Nepal,10,Sandeep Lamichhane,c Sai Kishore b Avesh Khan,5,4,1,0,125.00,2023
India Vs Nepal,Nepal,11,Abinash Bohara,,0,0,0,0,-,2023
India Vs Ireland,India,1,Yashasvi Jaiswal,c Campher b Young,18,11,2,1,163.63,2023
India Vs Ireland,India,2,Ruturaj Gaikwad,c Tector b McCarthy,58,43,6,1,134.88,2023
India Vs Ireland,India,3,Tilak Varma,c Dockrell b McCarthy,1,2,0,0,50.00,2023
India Vs Ireland,India,4,Sanju Samsonâ€ , b White,40,26,5,1,153.84,2023
India Vs Ireland,India,5,Rinku Singh,c Young b Adair,38,21,2,3,180.95,2023
India Vs Ireland,India,6,Shivam Dube,,22,16,0,2,137.50,2023
India Vs Ireland,India,7,Washington Sundar,,0,1,0,0,0.00,2023
India Vs Ireland,Ireland,1,Andy Balbirnie,c â€ Samson b Arshdeep Singh,72,51,5,4,141.17,2023
India Vs Ireland,Ireland,2,Paul Stirling(c),c Arshdeep Singh b Prasidh Krishna,0,4,0,0,0.00,2023
India Vs Ireland,Ireland,3,Lorcan Tuckerâ€ ,c Gaikwad b Prasidh Krishna,0,3,0,0,0.00,2023
India Vs Ireland,Ireland,4,Harry Tector, b Ravi Bishnoi,7,7,1,0,100.00,2023
India Vs Ireland,Ireland,5,Curtis Campher,c Dube b Ravi Bishnoi,18,17,0,1,105.88,2023
India Vs Ireland,Ireland,6,George Dockrell,run out (Ravi Bishnoi/â€ Samson),13,11,0,1,118.18,2023
India Vs Ireland,Ireland,7,Mark Adair,c Tilak Varma b Bumrah,23,15,0,3,153.33,2023
India Vs Ireland,Ireland,8,Barry McCarthy,c Ravi Bishnoi b Bumrah,2,4,0,0,50.00,2023
India Vs Ireland,Ireland,9,Craig Young,,1,6,0,0,16.66,2023
India Vs Ireland,Ireland,10,Josh Little,,0,2,0,0,0.00,2023
Ireland Vs India,Ireland,1,Andy Balbirnie, b Bumrah,4,2,1,0,200.00,2023
Ireland Vs India,Ireland,2,Paul Stirling(c), b Ravi Bishnoi,11,11,1,0,100.00,2023
Ireland Vs India,Ireland,3,Lorcan Tuckerâ€ ,c â€ Samson b Bumrah,0,3,0,0,0.00,2023
Ireland Vs India,Ireland,4,Harry Tector,c Tilak Varma b Prasidh Krishna,9,16,1,0,56.25,2023
Ireland Vs India,Ireland,5,Curtis Campher, b Arshdeep Singh,39,33,3,1,118.18,2023
Ireland Vs India,Ireland,6,George Dockrell,c Gaikwad b Prasidh Krishna,1,3,0,0,33.33,2023
Ireland Vs India,Ireland,7,Mark Adair,lbw b Ravi Bishnoi,16,16,2,0,100.00,2023
Ireland Vs India,Ireland,8,Barry McCarthy,,51,33,4,4,154.54,2023
Ireland Vs India,Ireland,9,Craig Young,,1,4,0,0,25.00,2023
Ireland Vs India,India,1,Yashasvi Jaiswal,c Stirling b Young,24,23,3,1,104.34,2023
Ireland Vs India,India,2,Ruturaj Gaikwad,,19,16,1,1,118.75,2023
Ireland Vs India,India,3,Tilak Varma,c â€ Tucker b Young,0,1,0,0,0.00,2023
Ireland Vs India,India,4,Sanju Samsonâ€ ,,1,1,0,0,100.00,2023
India Vs West Indies,India,1,Yashasvi Jaiswal,c & b Hosein,5,4,1,0,125.00,2023
India Vs West Indies,India,2,Shubman Gill,lbw b Hosein,9,9,1,0,100.00,2023
India Vs West Indies,India,3,Suryakumar Yadav,lbw b Holder,61,45,4,3,135.55,2023
India Vs West Indies,India,4,Tilak Varma,c & b Chase,27,18,3,2,150.00,2023
India Vs West Indies,India,5,Sanju Samsonâ€ ,c â€ Pooran b Shepherd,13,9,2,0,144.44,2023
India Vs West Indies,India,6,Hardik Pandya(c),c Holder b Shepherd,14,18,0,1,77.77,2023
India Vs West Indies,India,7,Axar Patel,c Shepherd b Holder,13,10,0,1,130.00,2023
India Vs West Indies,India,8,Arshdeep Singh, b Shepherd,8,4,0,1,200.00,2023
India Vs West Indies,India,9,Kuldeep Yadav,lbw b Shepherd,0,1,0,0,0.00,2023
India Vs West Indies,India,10,Yuzvendra Chahal,,0,1,0,0,0.00,2023
India Vs West Indies,India,11,Mukesh Kumar,,4,1,1,0,400.00,2023
India Vs West Indies,West Indies,1,Brandon King,,85,55,5,6,154.54,2023
India Vs West Indies,West Indies,2,Kyle Mayers,c Jaiswal b Arshdeep Singh,10,5,1,1,200.00,2023
India Vs West Indies,West Indies,3,Nicholas Pooranâ€ ,c Pandya b Tilak Varma,47,35,1,4,134.28,2023
India Vs West Indies,West Indies,4,Shai Hope,,22,13,1,1,169.23,2023
West Indies Vs India,West Indies,1,Kyle Mayers,c â€ Samson b Arshdeep Singh,17,7,2,1,242.85,2023
West Indies Vs India,West Indies,2,Brandon King,c Kuldeep Yadav b Arshdeep Singh,18,16,0,2,112.50,2023
West Indies Vs India,West Indies,3,Shai Hope,c Patel b Chahal,45,29,3,2,155.17,2023
West Indies Vs India,West Indies,4,Nicholas Pooranâ€ ,c Yadav b Kuldeep Yadav,1,3,0,0,33.33,2023
West Indies Vs India,West Indies,5,Rovman Powell(c),c Shubman Gill b Kuldeep Yadav,1,3,0,0,33.33,2023
West Indies Vs India,West Indies,6,Shimron Hetmyer,c Tilak Varma b Arshdeep Singh,61,39,3,4,156.41,2023
West Indies Vs India,West Indies,7,Romario Shepherd,c â€ Samson b Patel,9,6,0,1,150.00,2023
West Indies Vs India,West Indies,8,Jason Holder, b Mukesh Kumar,3,4,0,0,75.00,2023
West Indies Vs India,West Indies,9,Odean Smith,,15,12,0,1,125.00,2023
West Indies Vs India,West Indies,10,Akeal Hosein,,5,2,1,0,250.00,2023
West Indies Vs India,India,1,Yashasvi Jaiswal,,84,51,11,3,164.70,2023
West Indies Vs India,India,2,Shubman Gill,c Hope b Shepherd,77,47,3,5,163.82,2023
West Indies Vs India,India,3,Tilak Varma,,7,5,1,0,140.00,2023
West Indies Vs India,West Indies,1,Brandon King,c & b Kuldeep Yadav,42,42,5,1,100.00,2023
West Indies Vs India,West Indies,2,Kyle Mayers,c Arshdeep Singh b Patel,25,20,3,1,125.00,2023
West Indies Vs India,West Indies,3,Johnson Charles,lbw b Kuldeep Yadav,12,14,1,1,85.71,2023
West Indies Vs India,West Indies,4,Nicholas Pooranâ€ ,st â€ Samson b Kuldeep Yadav,20,12,2,1,166.66,2023
West Indies Vs India,West Indies,5,Rovman Powell(c),,40,19,1,3,210.52,2023
